15 281 7036
4 98 0.274309 -0.243827
4 130 -0.0530077 -0.236995
4 101 0.172916 -0.118754
4 16 0.271254 -0.266256
4 21 0.409598 -0.446673
4 23 -0.0168884 -0.0779184
4 131 0.00605726 -0.210635
4 106 0.0206494 -0.167335
4 132 -0.035393 -0.118402
4 49 0.058716 -0.276113
4 52 0.243762 -0.191625
4 54 0.292064 0.00937169
4 117 0.174819 -0.429881
4 59 0.241816 -0.167039
4 133 -0.0135403 -0.0661807
4 70 0.351752 -0.397589
4 122 0.187 -0.230912
4 134 0.282319 0.00754674
4 135 0.234203 -0.139665
4 80 0.227503 -0.120199
4 136 0.26624 0.00608685
4 85 0.272818 0.0126566
4 137 0.185902 -0.105074
4 124 0.272818 -0.245755
4 138 0.208003 -0.243827
4 102 0.247463 -0.192329
4 104 0.243938 -0.191449
0 139 0.280771 -0.105025
4 139 0.173444 -0.118402
4 35 0.290288 -0.264496
0 140 0.209925 -0.275057
4 140 0.159346 -0.342823
4 49 0.291556 -0.265129
0 101 0.281405 -0.104687
4 122 0.290541 -0.26589
0 141 0.327999 -0.180422
4 141 -0.0142449 -0.219612
0 142 0.280492 -0.103774
4 142 0.173296 -0.116853
0 143 0.318863 -0.151223
4 143 0.228112 -0.144734
4 135 0.283943 0.00734391
4 85 0.289628 -0.266194
0 144 0.357453 -0.30532
4 144 -0.0301313 -0.116549
0 91 0.296937 -0.210716
4 127 0.245892 -0.212292
5 0 -0.030106 -0.20113
5 1 0.189305 -0.236333
5 2 -0.132322 0.023291
5 3 0.22279 -0.195849
5 4 0.216269 -0.0110322
5 5 0.213978 -0.00663179
5 6 0.198117 -0.150085
5 7 0.1849 -0.238973
5 8 0.214859 -0.221372
5 9 0.199351 -0.130371
5 10 -0.0424424 -0.180888
5 11 0.256451 -0.254991
5 12 0.194592 -0.153605
5 13 -0.0734595 -0.280337
5 14 -0.0491392 -0.136708
5 15 0.2457 -0.520599
5 16 0.202523 -0.132483
5 17 0.173444 -0.030394
5 18 0.0588922 -0.220492
5 19 0.184547 -0.250766
5 20 0.136435 -0.296179
5 21 -0.00895786 -0.125091
5 22 0.205166 -0.132483
5 23 -0.129678 -0.436992
5 24 0.177145 -0.144101
5 25 0.135907 -0.132483
5 26 -0.0216467 -0.189513
5 27 0.226843 -0.20641
5 28 -0.0417374 -0.184232
5 29 -0.00367084 -0.118754
5 30 0.139798 -0.255244
5 31 0.262795 -0.394396
5 32 0.213097 -0.177896
5 33 0.256451 -0.258159
5 34 0.176969 -0.143925
5 35 -0.0332782 -0.169447
5 36 0.185605 -0.131427
5 37 0.198293 -0.257103
5 38 0.00428085 -0.255244
5 39 0.194614 -0.244599
5 40 -0.238838 -0.522395
5 41 -0.0218582 -0.238516
5 42 0.217454 -0.226349
5 43 0.244608 -0.521127
5 44 -0.0358159 -0.171348
5 45 0.382916 -0.457762
5 46 0.00478837 -0.253723
5 47 0.201466 -0.151071
5 48 -0.0427948 -0.181064
5 49 -0.0434293 -0.201763
5 50 -0.0748976 -0.279577
5 51 -0.00409381 -0.119388
5 52 0.226843 -0.00659655
